path,size_bytes,modified,extension
"./.DS_Store",32772,"2025-11-30 20:53:34","DS_Store"
"./inventory_project.sh",1970,"2025-11-30 21:16:59","sh"
"./web/HADER_12wk_Execution_Kit.xlsx",11730,"2025-11-12 10:17:55","xlsx"
"./web/WhatsApp Image‏ 2025-11-11 at 17.23.48.jpeg",80974,"2025-11-11 18:27:34","jpeg"
"./web/HADER_Bilingual_Master_SST_v1_7_CHECKLIST_AR.md",1197,"2025-11-12 00:42:59","md"
"./web/Ecart - Required Data .pdf",105938,"2025-11-11 17:57:56","pdf"
"./web/web req/Gemini_Generated_Image_kw5qw3kw5qw3kw5q.png",977272,"2025-11-12 14:10:10","png"
"./web/web req/hader_logo_color.png",1115674,"2025-11-12 14:02:58","png"
"./web/web req/.DS_Store",10244,"2025-11-15 16:18:02","DS_Store"
"./web/web req/HADER_Shopify_Launch_Pack_v1.7/.DS_Store",14340,"2025-11-12 13:06:50","DS_Store"
"./web/web req/HADER_Shopify_Launch_Pack_v1.7/brand/email_signature.html",1186,"2025-11-12 10:47:22","html"
"./web/web req/HADER_Shopify_Launch_Pack_v1.7/brand/brand_tokens.json",592,"2025-11-12 10:47:22","json"
"./web/web req/HADER_Shopify_Launch_Pack_v1.7/marketing/social_bios.txt",817,"2025-11-12 10:47:22","txt"
"./web/web req/HADER_Shopify_Launch_Pack_v1.7/marketing/whatsapp_autoreply_flows.txt",1433,"2025-11-12 10:47:22","txt"
"./web/web req/HADER_Shopify_Launch_Pack_v1.7/seo/organization.jsonld",1296,"2025-11-12 10:47:22","jsonld"
"./web/web req/HADER_Shopify_Launch_Pack_v1.7/seo/website.jsonld",337,"2025-11-12 10:47:22","jsonld"
"./web/web req/HADER_Shopify_Launch_Pack_v1.7/seo/faqpage.jsonld",1058,"2025-11-12 10:47:22","jsonld"
"./web/web req/HADER_Shopify_Launch_Pack_v1.7/data/shipping_rates.csv",168,"2025-11-12 10:47:22","csv"
"./web/web req/HADER_Shopify_Launch_Pack_v1.7/pages/shipping_ar_en.md",830,"2025-11-12 10:47:22","md"
"./web/web req/HADER_Shopify_Launch_Pack_v1.7/pages/contact_ar_en.md",1370,"2025-11-12 10:47:22","md"
"./web/web req/HADER_Shopify_Launch_Pack_v1.7/pages/faqs_ar_en.md",1393,"2025-11-12 10:47:22","md"
"./web/web req/HADER_Shopify_Launch_Pack_v1.7/pages/privacy_ar_en.md",347,"2025-11-12 10:47:22","md"
"./web/web req/HADER_Shopify_Launch_Pack_v1.7/pages/returns_ar_en.md",365,"2025-11-12 10:47:22","md"
"./web/web req/HADER_Shopify_Launch_Pack_v1.7/pages/about_ar_en.md",1094,"2025-11-12 10:47:22","md"
"./web/web req/HADER_Shopify_Launch_Pack_v1.7/store/.DS_Store",8196,"2025-11-12 13:06:45","DS_Store"
"./web/web req/HADER_Shopify_Launch_Pack_v1.7/store/product_template_example.json",1465,"2025-11-12 10:47:22","json"
"./web/web req/HADER_Shopify_Launch_Pack_v1.7/store/collections.json",1839,"2025-11-12 10:47:22","json"
"./web/web req/HADER_Shopify_Launch_Pack_v1.7/store/policies_json/shopify_policies.json",899,"2025-11-12 10:47:22","json"
"./web/web req/Gemini_Generated_Image_5sk1gt5sk1gt5sk1.png",825307,"2025-11-12 14:09:03","png"
"./web/web req/hader_logo_safezone.png",1167061,"2025-11-12 14:03:20","png"
"./web/web req/hader_logo_color.svg",1487735,"2025-11-12 14:03:14","svg"
"./web/web req/hader_logo_mono_blue.png",49591,"2025-11-12 14:03:04","png"
"./web/web req/README.md",405,"2025-11-12 14:03:22","md"
"./web/web req/hader_logo_mono_red.png",49589,"2025-11-12 14:03:08","png"
"./web/web req/_tree.txt",1414,"2025-11-12 12:59:44","txt"
"./web/web req/HADER_Shopify_Launch_Pack_v1.7.zip",10445,"2025-11-12 12:49:51","zip"
"./web/web req/_previews/.DS_Store",8196,"2025-11-15 16:18:02","DS_Store"
"./web/web req/_previews/_tree.txt.preview.txt",1414,"2025-11-12 12:59:44","txt"
"./web/web req/_previews/HADER_Shopify_Launch_Pack_v1.7/.DS_Store",6148,"2025-11-15 16:17:31","DS_Store"
"./web/web req/_previews/HADER_Shopify_Launch_Pack_v1.7/brand/brand_tokens.json.preview.txt",592,"2025-11-12 12:59:44","txt"
"./web/web req/_previews/HADER_Shopify_Launch_Pack_v1.7/brand/email_signature.html.preview.txt",1186,"2025-11-12 12:59:44","txt"
"./web/web req/_previews/HADER_Shopify_Launch_Pack_v1.7/marketing/whatsapp_autoreply_flows.txt.preview.txt",1433,"2025-11-12 12:59:44","txt"
"./web/web req/_previews/HADER_Shopify_Launch_Pack_v1.7/marketing/social_bios.txt.preview.txt",817,"2025-11-12 12:59:44","txt"
"./web/web req/_previews/HADER_Shopify_Launch_Pack_v1.7/data/shipping_rates.csv.preview.txt",168,"2025-11-12 12:59:44","txt"
"./web/web req/_previews/HADER_Shopify_Launch_Pack_v1.7/pages/contact_ar_en.md.preview.txt",1370,"2025-11-12 12:59:44","txt"
"./web/web req/_previews/HADER_Shopify_Launch_Pack_v1.7/pages/privacy_ar_en.md.preview.txt",347,"2025-11-12 12:59:44","txt"
"./web/web req/_previews/HADER_Shopify_Launch_Pack_v1.7/pages/about_ar_en.md.preview.txt",1094,"2025-11-12 12:59:44","txt"
"./web/web req/_previews/HADER_Shopify_Launch_Pack_v1.7/pages/returns_ar_en.md.preview.txt",365,"2025-11-12 12:59:44","txt"
"./web/web req/_previews/HADER_Shopify_Launch_Pack_v1.7/pages/faqs_ar_en.md.preview.txt",1393,"2025-11-12 12:59:44","txt"
