relative_path,top_folder,file_name,extension,size_bytes,library_category_guess
PROJECT_MAP.md,PROJECT_MAP.md,PROJECT_MAP.md,.md,11052,07_pm
Conistitution ver AAG.docx,Conistitution ver AAG.docx,Conistitution ver AAG.docx,.docx,34010,00_governance
audit_haderos.py,audit_haderos.py,audit_haderos.py,.py,2751,04_code
ai_studio_code-3.py,ai_studio_code-3.py,ai_studio_code-3.py,.py,4182,04_code
.DS_Store,.DS_Store,.DS_Store,,36868,
sync_agent_tasks_to_haderos.sh,sync_agent_tasks_to_haderos.sh,sync_agent_tasks_to_haderos.sh,.sh,1170,09_agents_automation
haderos_strategic_review_and_roadmap_en.md,haderos_strategic_review_and_roadmap_en.md,haderos_strategic_review_and_roadmap_en.md,.md,17288,01_strategy
inventory_project.sh,inventory_project.sh,inventory_project.sh,.sh,1970,07_pm
WhatsApp Image 2025-11-12 at 14.11.34.jpeg,WhatsApp Image 2025-11-12 at 14.11.34.jpeg,WhatsApp Image 2025-11-12 at 14.11.34.jpeg,.jpeg,62446,
HaderOS_executive_summary_and_presentation_ar.md,HaderOS_executive_summary_and_presentation_ar.md,HaderOS_executive_summary_and_presentation_ar.md,.md,21854,01_strategy
inventory_files.csv,inventory_files.csv,inventory_files.csv,.csv,1962018,07_pm
inventory_summary.txt,inventory_summary.txt,inventory_summary.txt,.txt,14408,07_pm
🧠 HaderOS Deep Semantic Ingestion Report.md,🧠 HaderOS Deep Semantic Ingestion Report.md,🧠 HaderOS Deep Semantic Ingestion Report.md,.md,15994,06_docs
archive_project.sh,archive_project.sh,archive_project.sh,.sh,2740,
rescue_kaia_brain.sh,rescue_kaia_brain.sh,rescue_kaia_brain.sh,.sh,823,
web/HADER_12wk_Execution_Kit.xlsx,web,HADER_12wk_Execution_Kit.xlsx,.xlsx,11730,08_frontend_web
web/WhatsApp Image‏ 2025-11-11 at 17.23.48.jpeg,web,WhatsApp Image‏ 2025-11-11 at 17.23.48.jpeg,.jpeg,80974,08_frontend_web
web/HADER_Bilingual_Master_SST_v1_7_CHECKLIST_AR.md,web,HADER_Bilingual_Master_SST_v1_7_CHECKLIST_AR.md,.md,1197,08_frontend_web
web/Ecart - Required Data .pdf,web,Ecart - Required Data .pdf,.pdf,105938,08_frontend_web
web/.DS_Store,web,.DS_Store,,22532,08_frontend_web
web/HADER_Bilingual_Master_SST_v1_7.yaml,web,HADER_Bilingual_Master_SST_v1_7.yaml,.yaml,10699,08_frontend_web
web/HADER_Ecart_Required_Data.yaml,web,HADER_Ecart_Required_Data.yaml,.yaml,5026,08_frontend_web
web/HADER_competitors_matrix.csv,web,HADER_competitors_matrix.csv,.csv,3707,08_frontend_web
web/جميل اعمل منهج شرح و خطه اسمها خطه ٧ ايام لتعليم صنع قائد بارع في التسويق الإلكتروني.txt,web,جميل اعمل منهج شرح و خطه اسمها خطه ٧ ايام لتعليم صنع قائد بارع في التسويق الإلكتروني.txt,.txt,101405,08_frontend_web
web/text.txt,web,text.txt,.txt,28862,08_frontend_web
web/Gemini_Generated_Image_dpjnnudpjnnudpjn.png,web,Gemini_Generated_Image_dpjnnudpjnnudpjn.png,.png,930338,08_frontend_web
web/وثائقي ثقة_ من المصنع للتاجر.docx,web,وثائقي ثقة_ من المصنع للتاجر.docx,.docx,6251061,08_frontend_web
web/WhatsApp Image‏ 2025-11-11 ٠٠at 17.23.48.jpeg,web,WhatsApp Image‏ 2025-11-11 ٠٠at 17.23.48.jpeg,.jpeg,31255,08_frontend_web
web/HADER______________________________.csv,web,HADER______________________________.csv,.csv,3707,08_frontend_web
web/web req/Gemini_Generated_Image_kw5qw3kw5qw3kw5q.png,web,Gemini_Generated_Image_kw5qw3kw5qw3kw5q.png,.png,977272,08_frontend_web
web/web req/hader_logo_color.png,web,hader_logo_color.png,.png,1115674,08_frontend_web
web/web req/.DS_Store,web,.DS_Store,,10244,08_frontend_web
