Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Egypt,Status
ama8-sneaker,AMA8 Sneaker,"<h2>Elevate Your Street Style</h2><p>The AMA8 Sneaker is a perfect fusion of comfort and contemporary design. Crafted with premium materials and featuring striking dual-tone colorways, these sneakers are built for all-day wear.</p><h3>Key Features:</h3><ul><li>Premium synthetic leather upper for durability</li><li>Cushioned EVA midsole for superior comfort</li><li>Non-slip rubber outsole with excellent grip</li><li>Breathable mesh lining keeps feet cool</li><li>Lightweight construction (approx. 280g per shoe)</li><li>Available in multiple color combinations</li></ul><h3>Available Colors:</h3><ul><li>Black & Red - Bold and energetic</li><li>Black & White - Classic minimalist</li><li>White & Red - Fresh and vibrant</li><li>White & Grey - Subtle sophistication</li></ul><p><strong>Sizing:</strong> Available in EU sizes 41-45 (true to size)</p><h3>Care Instructions:</h3><ul><li>Wipe clean with damp cloth</li><li>Air dry away from direct heat</li><li>Use protective spray for longer life</li></ul><p><strong>Perfect For:</strong> Daily wear, casual outings, light sports activities</p><hr><h2>ارتقِ بأسلوبك في الشارع</h2><p>حذاء AMA8 الرياضي - مزيج مثالي من الراحة والتصميم العصري. مصنوع من مواد فاخرة ويتميز بألوان ثنائية جذابة، مصمم للارتداء طوال اليوم.</p><h3>المميزات الرئيسية:</h3><ul><li>جزء علوي من الجلد الصناعي الفاخر للمتانة</li><li>نعل أوسط من مادة EVA المبطنة لراحة فائقة</li><li>نعل خارجي مطاطي مانع للانزلاق مع قبضة ممتازة</li><li>بطانة شبكية تسمح بالتهوية</li><li>بناء خفيف الوزن (حوالي 280 جرام)</li></ul><p><strong>مثالي لـ:</strong> الارتداء اليومي، النزهات غير الرسمية، الأنشطة الرياضية الخفيفة</p>",Hader Egypt,Apparel & Accessories > Shoes,Sneakers,"mens shoes, sports shoes, casual sneakers, affordable sneakers, egyptian shoes",TRUE,Color,Black & Red,Size,41,AMA8-BR-41,500,shopify,100,deny,manual,499,,TRUE,TRUE,,,,,"AMA8 Sneaker - Premium Comfort | Hader Egypt","حذاء AMA8 الرياضي بسعر 499 جنيه - راحة فائقة وتصميم عصري | متوفر بـ 4 ألوان | مقاسات 41-45 | شحن مجاني فوق 1000 جنيه | Hader Egypt",Apparel & Accessories > Shoes,Male,Adult,AMA8,New,FALSE,Premium,Bestseller,,,,,kg,,,Egypt,active
ama8-sneaker,,,,,,,,,Black & Red,Size,42,AMA8-BR-42,500,shopify,100,deny,manual,499,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
ama8-sneaker,,,,,,,,,Black & Red,Size,43,AMA8-BR-43,500,shopify,100,deny,manual,499,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
ama8-sneaker,,,,,,,,,Black & Red,Size,44,AMA8-BR-44,500,shopify,100,deny,manual,499,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
ama8-sneaker,,,,,,,,,Black & Red,Size,45,AMA8-BR-45,500,shopify,100,deny,manual,499,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
bo4-sneaker,BO4 Sneaker,"<h2>Affordable Style, Uncompromised Quality</h2><p>The BO4 Sneaker delivers exceptional value without compromising on quality or comfort. This versatile everyday sneaker is perfect for casual wear.</p><h3>Key Features:</h3><ul><li>Durable canvas and synthetic construction</li><li>Padded collar and tongue for ankle support</li><li>Flexible rubber sole adapts to your stride</li><li>Classic lace-up design for secure fit</li><li>Moisture-wicking footbed keeps feet dry</li><li>Lightweight and breathable</li></ul><p><strong>Sizing:</strong> EU sizes 41-45 (recommend ordering your usual size)</p><h3>Care Instructions:</h3><ul><li>Hand wash with mild soap</li><li>Remove insoles before cleaning</li><li>Air dry completely before wearing</li></ul><p><strong>Perfect For:</strong> Everyday casual wear, walking, shopping, relaxed weekends</p><hr><h2>أناقة في متناول اليد، جودة بلا تنازلات</h2><p>حذاء BO4 الرياضي يقدم قيمة استثنائية دون التنازل عن الجودة أو الراحة.</p>",Hader Egypt,Apparel & Accessories > Shoes,Sneakers,"mens shoes, casual shoes, everyday sneakers, budget sneakers",TRUE,Size,41,,,,BO4-41,480,shopify,100,deny,manual,399,,TRUE,TRUE,,,,,"BO4 Sneaker - Quality Meets Value | Hader Egypt","حذاء BO4 الرياضي بسعر 399 جنيه فقط - جودة عالية وسعر مناسب | ارتداء يومي مريح | مقاسات 41-45 | اطلب الآن من Hader Egypt",Apparel & Accessories > Shoes,Male,Adult,BO4,New,FALSE,Value,Daily Wear,,,,,kg,,,Egypt,active
bo4-sneaker,,,,,,,,,42,,,,BO4-42,480,shopify,100,deny,manual,399,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
bo4-sneaker,,,,,,,,,43,,,,BO4-43,480,shopify,100,deny,manual,399,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
bo4-sneaker,,,,,,,,,44,,,,BO4-44,480,shopify,100,deny,manual,399,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
bo4-sneaker,,,,,,,,,45,,,,BO4-45,480,shopify,100,deny,manual,399,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
